2026-07-07 01:41:24,271 | INFO    | rags.pipeline | Query executed in 0.000s
2026-07-07 01:41:24,672 | INFO    | rags.ingestion.chunker | Embedding 4 sentences for semantic chunking...
2026-07-07 01:41:24,684 | INFO    | rags.ingestion.chunker | Found 1 breakpoints at threshold 0.0061 (percentile 50.0)
2026-07-07 01:42:37,954 | ERROR   | rags.pipeline | Failed to process 1234.5678: Strings must be encoded before hashing
2026-07-07 01:42:37,955 | ERROR   | rags.pipeline | No chunks to index
2026-07-07 01:42:37,966 | INFO    | rags.pipeline | Query executed in 0.000s
2026-07-07 01:42:38,225 | INFO    | rags.ingestion.chunker | Embedding 4 sentences for semantic chunking...
2026-07-07 01:42:38,226 | INFO    | rags.ingestion.chunker | Found 1 breakpoints at threshold 0.0061 (percentile 50.0)
2026-07-07 01:42:38,747 | INFO    | rags.ingestion.indexer | Index built: 3 chunks (including 1 parents)
2026-07-07 01:45:00,038 | INFO    | rags.pipeline | Embedding 2 chunks...
2026-07-07 01:45:00,038 | INFO    | rags.pipeline | Index ready: 2 chunks, avg size 21.0 tokens, built in 0.00s
2026-07-07 01:45:00,043 | INFO    | rags.pipeline | Query executed in 0.000s
2026-07-07 01:45:00,099 | INFO    | rags.ingestion.chunker | Embedding 4 sentences for semantic chunking...
2026-07-07 01:45:00,100 | INFO    | rags.ingestion.chunker | Found 1 breakpoints at threshold 0.0061 (percentile 50.0)
2026-07-07 01:45:00,561 | INFO    | rags.ingestion.indexer | Index built: 3 chunks (including 1 parents)
2026-07-07 02:13:38,905 | INFO    | rags.pipeline | Embedding 2 chunks...
2026-07-07 02:13:38,906 | INFO    | rags.pipeline | Index ready: 2 chunks, avg size 21.0 tokens, built in 0.00s
2026-07-07 02:13:38,911 | INFO    | rags.pipeline | Query executed in 0.000s
2026-07-07 02:13:38,978 | INFO    | rags.ingestion.chunker | Embedding 4 sentences for semantic chunking...
2026-07-07 02:13:38,982 | INFO    | rags.ingestion.chunker | Found 1 breakpoints at threshold 0.0061 (percentile 50.0)
2026-07-07 02:13:39,520 | INFO    | rags.ingestion.indexer | Index built: 3 chunks (including 1 parents)
2026-07-07 02:16:05,226 | INFO    | rags.pipeline | Embedding 2 chunks...
2026-07-07 02:16:05,227 | INFO    | rags.pipeline | Index ready: 2 chunks, avg size 21.0 tokens, built in 0.00s
2026-07-07 02:16:05,231 | INFO    | rags.pipeline | Query executed in 0.000s
2026-07-07 02:16:05,285 | INFO    | rags.ingestion.chunker | Embedding 4 sentences for semantic chunking...
2026-07-07 02:16:05,286 | INFO    | rags.ingestion.chunker | Found 1 breakpoints at threshold 0.0061 (percentile 50.0)
2026-07-07 02:16:05,748 | INFO    | rags.ingestion.indexer | Index built: 3 chunks (including 1 parents)
2026-07-07 02:21:28,309 | INFO    | rags.pipeline | Embedding 2 chunks...
2026-07-07 02:21:28,310 | INFO    | rags.pipeline | Index ready: 2 chunks, avg size 21.0 tokens, built in 0.00s
2026-07-07 02:21:28,314 | INFO    | rags.pipeline | Query executed in 0.000s
2026-07-07 02:21:28,388 | INFO    | rags.ingestion.chunker | Embedding 4 sentences for semantic chunking...
2026-07-07 02:21:28,391 | INFO    | rags.ingestion.chunker | Found 1 breakpoints at threshold 0.0061 (percentile 50.0)
2026-07-07 02:21:28,991 | INFO    | rags.ingestion.indexer | Index built: 3 chunks (including 1 parents)
2026-07-07 02:21:48,967 | INFO    | rags.ingestion.loader | Searching arXiv for NLP: cat:cs.CL
